brand;number;cross_brand;cross_number;name;;
FortLuft;880;CHRYSLER;L000000880;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;CHRYSLER;05303632AA;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;CHRYSLER;05096026AA;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;CHRYSLER;4638534;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;General Motors;94535555;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;General Motors;12450143;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;General Motors;9442876;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;General Motors;9442876;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;Hyundai/Kia;18647-27009S;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;LYNXauto;L18027;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;MOPAR;L000000880;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;MOPAR;4638534;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;Narva;48041;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;Narva;48039;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;Osram;880;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;Philips;12059c1;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;880;Valeo;32227;Лампа H27/1 прямая 12V 27W PG13 Original light;;
FortLuft;881;CHRYSLER;L0000881;Лампа H27/2 угловая 12V 27W PGJ13 Original light;;
FortLuft;881;Ford;f1cz13466c;Лампа H27/2 угловая 12V 27W PGJ13 Original light;;
FortLuft;881;General Motors;94535557;Лампа H27/2 угловая 12V 27W PGJ13 Original light;;
FortLuft;881;General Motors;12450176;Лампа H27/2 угловая 12V 27W PGJ13 Original light;;
FortLuft;881;Hyundai/Kia;S18647-27009;Лампа H27/2 угловая 12V 27W PGJ13 Original light;;
